timestamp,cpu_usage,memory_usage,disk_read_iops,disk_write_iops,network_in,network_out,disk_read_latency,disk_write_latency,disk_free_space,packet_loss,network_latency,query_execution_time,active_connections,http_requests_per_sec,backend_latency
2025-04-21 17:10:50.058566,33.62,6.0,189,258,14.0,14.0,4.15,2.77,615.0,0.55,12.112534897272457,77.26,453,1737,148.46880429263322
2025-04-21 17:11:05.058566,64.29050000000001,26.0,96,355,23.0,14.0,4.43,4.29,520.0,0.68,15.358522033795047,141.41,452,736,271.74441645122005
2025-04-21 17:11:20.058566,53.671,29.0,165,440,15.0,14.0,2.7,1.62,638.0,0.5,14.24449418516516,150.02,385,1092,288.2900597978363
2025-04-21 17:11:35.058566,12.4915,13.0,153,410,41.0,40.0,4.09,4.64,599.0,0.7,13.822293712229644,112.05,176,419,215.32396480700945
2025-04-21 17:11:50.058566,50.402,11.0,411,397,31.0,13.0,2.45,2.17,354.0,0.52,10.76489991135724,142.0,126,982,272.87820618112755
2025-04-21 17:12:05.058566,27.3225,7.0,471,432,29.0,36.0,2.3,4.48,489.0,0.13,1.3828136388482108,108.86,156,1408,209.19381355547569
2025-04-21 17:12:20.058566,20.303,19.0,158,486,43.0,13.0,3.94,2.6,443.0,0.44,7.01771313311056,169.96,310,1479,326.60830931369327
2025-04-21 17:12:35.058566,54.993500000000004,10.0,118,432,16.0,28.0,2.08,3.9,285.0,0.43,10.65877388920281,181.22,200,747,348.24639805735166
2025-04-21 17:12:50.058566,42.894,7.0,420,129,19.0,34.0,4.44,1.92,612.0,0.88,9.346957999114423,100.08,186,658,192.3214850324454
2025-04-21 17:13:05.058566,15.6945,5.0,127,424,33.0,27.0,2.06,2.02,325.0,0.53,4.247215208988799,109.17,471,848,209.7895335830542
2025-04-21 17:13:20.058566,37.175000000000004,16.0,50,146,23.0,34.0,2.33,4.19,194.0,0.73,23.417122154314956,149.78,167,1014,287.82885719584004
2025-04-21 17:13:35.058566,77.3055,31.0,280,164,31.0,40.0,2.85,4.79,487.0,0.7,11.130835875360814,14.01,63,1759,26.922701891532373
2025-04-21 17:13:50.058566,30.856,24.0,149,178,28.0,5.0,2.72,4.21,391.0,0.77,30.073673524440643,199.14,406,923,382.6828590064066
2025-04-21 17:14:05.058566,34.676500000000004,5.0,384,336,5.0,25.0,3.33,4.64,630.0,0.88,19.559716247199532,119.02,57,1718,228.7180570399845
2025-04-21 17:14:20.058566,21.307000000000002,22.0,119,249,22.0,42.0,2.34,4.81,318.0,0.96,19.722504928879662,166.43,140,1667,319.8247877093314
2025-04-21 17:14:35.058566,26.3675,26.0,496,340,24.0,14.0,3.61,3.2,369.0,0.46,4.101804351488353,161.08,347,1775,309.5438130398312
2025-04-21 17:14:50.058566,44.488,13.0,477,117,14.0,5.0,3.89,2.52,452.0,0.11,0.5026744163193724,34.07,238,338,65.47155270838743
2025-04-21 17:15:05.058566,92.4485,54.0,1046,1509,78.0,63.0,18.79,13.87,63.0,2.59,36.31370411461256,710.29,996,11181,1364.94831738305
2025-04-21 17:15:20.058566,46.919,16.0,290,66,14.0,35.0,2.78,4.87,373.0,0.59,10.903733980285747,115.96,395,1870,222.83772386453205
2025-04-21 17:15:35.058566,38.1695,23.0,202,390,46.0,14.0,2.91,3.9,355.0,0.81,10.287209371902096,160.6,240,1527,308.6214078358386
2025-04-21 17:15:50.058566,80.09,55.0,1507,1945,84.0,69.0,14.77,19.39,24.0,4.77,81.98845663512864,476.98,890,10218,916.6017379174241
2025-04-21 17:16:05.058566,18.0605,24.0,462,92,23.0,43.0,3.77,1.13,258.0,0.51,6.181413967186495,46.73,78,1043,89.79998996369078
2025-04-21 17:16:20.058566,76.211,27.0,396,317,5.0,32.0,3.01,4.53,725.0,0.72,7.179898071615041,26.35,205,1990,50.63620234417402
2025-04-21 17:16:35.058566,89.2015,60.0,1330,1171,67.0,60.0,15.39,11.95,23.0,1.36,10.084947751554164,778.54,1699,5514,1496.1028073257396
2025-04-21 17:16:50.058566,61.922,12.0,415,311,24.0,33.0,4.82,4.6,206.0,0.77,12.969401718753756,31.93,177,922,61.359162840587345
2025-04-21 17:17:05.058566,92.8125,43.0,1347,1721,62.0,72.0,14.85,18.29,38.0,1.07,18.110323528761374,706.34,1085,5466,1357.3576912251947
2025-04-21 17:17:20.058566,36.882999999999996,16.0,114,358,38.0,43.0,1.09,3.78,489.0,0.1,-6.780686320430904,159.6,241,1559,306.6997303275208
2025-04-21 17:17:35.058566,38.8335,4.0,437,394,29.0,47.0,4.61,3.62,198.0,0.14,-0.4091146769337839,10.25,489,1525,19.697194460257446
2025-04-21 17:17:50.058566,41.794000000000004,7.0,381,254,47.0,12.0,3.28,2.95,792.0,0.6,8.704433524713533,34.56,328,658,66.41317468746317
2025-04-21 17:18:05.058566,96.9445,215.0,2658,2110,437.0,142.0,88.22,20.29,6.0,14.8,263.6392358500173,1777.93,2701,25451,3416.608092363466
2025-04-21 17:18:20.058566,60.035000000000004,26.0,68,214,5.0,28.0,4.27,1.87,625.0,0.94,13.283384944954083,71.86,152,1416,138.09174574771708
2025-04-21 17:18:35.058566,17.825499999999998,7.0,102,165,46.0,40.0,3.62,1.23,141.0,0.28,6.863532928628458,88.61,338,1215,170.27984401204023
2025-04-21 17:18:50.058566,57.796,13.0,269,326,17.0,46.0,1.36,4.8,148.0,0.0,4.568918024579131,196.73,421,1203,378.05161621136074
2025-04-21 17:19:05.058566,69.1665,10.0,400,161,9.0,8.0,1.2,1.65,769.0,0.99,13.08511126408069,182.22,337,676,350.1680755656695
2025-04-21 17:19:20.058566,70.517,12.0,421,75,26.0,15.0,2.83,4.77,273.0,0.36,0.59538670633476,55.92,241,1894,107.46020626513136
2025-04-21 17:19:35.058566,63.1275,5.0,171,347,23.0,33.0,2.28,1.54,160.0,0.55,3.518622439014301,20.47,405,1407,39.33673859526536
2025-04-21 17:19:50.058566,54.898,20.0,69,357,34.0,42.0,3.18,2.71,739.0,0.88,18.010399568406434,116.31,319,450,223.5103109924433
2025-04-21 17:20:05.058566,36.978500000000004,7.0,55,401,7.0,13.0,4.91,4.46,202.0,0.75,11.508126285653969,129.05,475,1198,247.99248244841206
2025-04-21 17:20:20.058566,59.678999999999995,12.0,394,497,35.0,38.0,2.64,1.23,110.0,0.58,8.173343630633008,72.44,105,1163,139.2063187025414
2025-04-21 17:20:35.058566,38.859500000000004,15.0,169,155,27.0,37.0,4.19,4.52,703.0,0.25,5.059174727596186,29.59,37,265,56.86243747112369
2025-04-21 17:20:50.058566,13.469999999999999,13.0,157,329,8.0,20.0,1.67,2.15,224.0,0.39,-2.551802436382175,19.72,49,1301,37.89548046402701
2025-04-21 17:21:05.058566,66.6105,22.0,105,85,23.0,28.0,4.03,2.41,784.0,0.29,7.694980118336758,150.32,392,157,288.86656305033165
2025-04-21 17:21:20.058566,26.361,12.0,85,387,20.0,29.0,3.65,3.95,792.0,0.37,4.054543098446194,60.36,14,415,115.99245440206239
2025-04-21 17:21:35.058566,11.301499999999999,11.0,280,131,23.0,47.0,1.71,1.95,711.0,0.15,-0.8819670454685031,45.07,496,292,86.61000529988323
2025-04-21 17:21:50.058566,82.92200000000001,60.0,1897,1708,87.0,98.0,10.83,17.01,64.0,2.95,50.835407436440576,569.74,970,12834,1094.8565435889832
2025-04-21 17:22:05.058566,40.8325,8.0,406,156,47.0,38.0,3.23,3.65,301.0,0.95,18.493233270382586,17.02,268,1362,32.70695119156895
2025-04-21 17:22:20.058566,23.973,20.0,483,223,25.0,14.0,4.7,3.06,535.0,0.5,6.648458538374609,183.85,178,586,353.3004099042275
2025-04-21 17:22:35.058566,59.3835,27.0,97,499,5.0,24.0,2.17,1.66,563.0,0.63,6.68656131990369,120.41,46,438,231.38918877654626
2025-04-21 17:22:50.058566,41.834,8.0,87,342,20.0,32.0,1.35,2.7,714.0,0.31,10.782938637287277,98.33,233,1966,188.95854939288924
2025-04-21 17:23:05.058566,75.2445,8.0,438,87,46.0,11.0,2.84,4.4,232.0,0.2,-0.8490535363146927,115.39,100,253,221.7423676847909
2025-04-21 17:23:20.058566,23.025,6.0,377,464,15.0,41.0,2.51,4.11,219.0,0.77,7.356196376600028,24.95,202,576,47.9458538325291
